Schedule Name,Element,OCHRE Name,OCHRE Element,Values,Data Source
occupants,WeekdayScheduleFractions,Occupancy,weekday_fractions,"0.035, 0.035, 0.035, 0.035, 0.035, 0.059, 0.082, 0.055, 0.027, 0.014, 0.014, 0.014, 0.014, 0.014, 0.019, 0.027, 0.041, 0.055, 0.068, 0.082, 0.082, 0.070, 0.053, 0.035",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
occupants,WeekendScheduleFractions,Occupancy,weekend_fractions,"0.028, 0.028, 0.028, 0.028, 0.028, 0.047, 0.065, 0.043, 0.021, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.043, 0.054, 0.065, 0.065, 0.055, 0.042, 0.028",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(5) using ASHRAE 90.2/HERS Reference Home occupancy: 5 PM–8 AM weekdays, all day weekends
occupants,MonthlyScheduleMultipliers,Occupancy,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
general_water_use,GeneralWaterUseWeekdayScheduleFractions,N/A,weekday_fractions,"0.023, 0.021, 0.021, 0.025, 0.027, 0.038, 0.044, 0.039, 0.037, 0.037, 0.034, 0.035, 0.035, 0.035, 0.039, 0.043, 0.051, 0.064, 0.065, 0.072, 0.073, 0.063, 0.045, 0.034",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
general_water_use,GeneralWaterUseWeekendScheduleFractions,N/A,weekend_fractions,"0.023, 0.021, 0.021, 0.025, 0.027, 0.038, 0.044, 0.039, 0.037, 0.037, 0.034, 0.035, 0.035, 0.035, 0.039, 0.043, 0.051, 0.064, 0.065, 0.072, 0.073, 0.063, 0.045, 0.034",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
general_water_use,GeneralWaterUseMonthlyScheduleMultipliers,N/A,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
lighting_interior,InteriorWeekdayScheduleFractions,Indoor Lighting,weekday_fractions,"0.012, 0.010, 0.010, 0.010, 0.011, 0.018, 0.030, 0.038, 0.041, 0.041, 0.039, 0.037, 0.036, 0.035, 0.037, 0.041, 0.050, 0.065, 0.086, 0.106, 0.110, 0.079, 0.040, 0.018",Table C.3(3) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_interior,InteriorWeekendScheduleFractions,Indoor Lighting,weekend_fractions,"0.007, 0.006, 0.006, 0.006, 0.007, 0.011, 0.018, 0.023, 0.025, 0.094, 0.090, 0.085, 0.083, 0.080, 0.063, 0.049, 0.039, 0.040, 0.052, 0.065, 0.067, 0.048, 0.024, 0.011",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(3) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
lighting_interior,InteriorMonthlyScheduleMultipliers,Indoor Lighting,month_multipliers,"1.19, 1.11, 1.02, 0.93, 0.84, 0.80, 0.82, 0.88, 0.98, 1.07, 1.16, 1.20",Table C.3(4) of ANSI/RESNET/ICC 301-2022 Addendum C
lighting_exterior,ExteriorWeekdayScheduleFractions,Exterior Lighting,weekday_fractions,"0.040, 0.037, 0.037, 0.035, 0.035, 0.039, 0.044, 0.041, 0.031, 0.025, 0.024, 0.024, 0.025, 0.028, 0.030, 0.035, 0.044, 0.056, 0.064, 0.068, 0.070, 0.065, 0.056, 0.047",Table C.3(3) of ANSI/RESNET/ICC 301-2022 Addendum C
