day_id,start_time,duration,start_soc,weekday,temperature
403,1304,631,3.3,1,-20
416,1164,712,0.0,1,-20
611,945,1186,42.8,1,-20
624,915,1304,44.7,1,-20
1010,1050,840,0.0,1,-20
1505,1067,825,0.0,1,-20
1583,1124,681,0.0,1,-20
1596,1080,786,0.0,1,-20
1699,1032,1393,36.6,1,-20
4327,930,1065,52.0,1,-20
4340,1110,1020,71.5,1,-20
6114,1045,815,0.0,1,-20
7168,958,1282,4.3,1,-20
15653,1155,1265,51.9,1,-20
17152,651,169,17.8,1,-20
17152,966,934,37.5,1,-20
19948,1130,690,33.7,1,-20
19961,1044,861,7.6,1,-20
22863,100,395,71.3,1,-20
22863,780,210,43.5,1,-20
22876,582,1378,17.3,1,-20
23505,930,1350,32.9,1,-20
24695,1425,705,23.5,1,-20
24708,939,1341,22.7,1,-20
26808,1108,795,0.0,1,-20
29261,826,1349,42.4,1,-20
29391,1215,1245,0.0,1,-20
29404,1005,885,3.6,1,-20
29941,870,190,0.0,1,-20
29941,1296,721,0.0,1,-20
30485,1355,925,0.0,1,-20
30763,1290,640,38.5,1,-20
30776,970,65,0.0,1,-20
30776,1220,775,0.0,1,-20
33056,1085,823,8.6,1,-20
33225,945,1365,63.8,1,-20
34382,1080,870,36.4,1,-20
34395,1201,617,33.3,1,-20
34408,1159,816,46.4,1,-20
34447,1080,840,0.0,1,-20
34460,675,1340,53.0,1,-20
34473,1220,640,0.0,1,-20
34499,1120,740,34.6,1,-20
34512,585,1395,61.8,1,-20
34532,735,195,0.0,1,-20
34532,1255,725,0.0,1,-20
34558,1035,900,0.0,1,-20
34571,765,1256,0.0,1,-20
34584,1005,927,0.0,1,-20
34597,1071,45,0.0,1,-20
34597,1233,745,34.6,1,-20
34610,1088,1010,64.0,1,-20
34623,810,1380,85.0,1,-20
34686,1110,735,0.0,1,-20
34699,947,1233,0.0,1,-20
34712,1040,896,39.7,1,-20
34725,1075,1025,31.9,1,-20
34738,775,35,64.1,1,-20
34738,1080,930,0.0,1,-20
34740,1407,669,35.3,1,-20
34766,1050,830,0.0,1,-20
34779,773,1013,0.0,1,-20
34792,1250,670,43.4,1,-20
34829,1005,930,47.6,1,-20
34855,610,1280,12.8,1,-20
34868,855,105,0.0,1,-20
34868,1065,1035,44.6,1,-20
34972,720,60,27.3,1,-20
34985,855,840,15.2,1,-20
34998,1090,830,62.2,1,-20
43929,1080,780,0.0,1,-20
43942,730,1250,14.3,1,-20
45035,490,35,28.3,1,-20
45035,1080,675,64.7,1,-20
45048,751,84,0.0,1,-20
45048,1080,65,0.0,1,-20
45048,1213,897,0.0,1,-20
45265,1065,785,0.0,1,-20
45421,952,1047,0.0,1,-20
45927,1045,875,0.0,1,-20
47154,940,1410,78.5,1,-20
47167,550,1352,71.8,1,-20
47795,1210,620,0.0,1,-20
47873,1221,1242,18.9,1,-20
47977,1031,867,19.9,1,-20
47990,1122,1398,61.2,1,-20
49074,1060,820,0.0,1,-20
49087,955,35,0.0,1,-20
49087,1012,903,1.4,1,-20
49633,1095,1365,60.9,1,-20
52409,680,465,10.0,1,-20
52409,1325,535,24.0,1,-20
52888,849,1190,20.2,1,-20
52901,930,855,0.0,1,-20
53046,563,31,63.9,1,-20
53046,1028,870,0.0,1,-20
53059,1215,656,0.0,1,-20
54498,1380,1140,22.4,1,-20
55234,960,810,0.0,1,-20
56013,930,90,5.2,1,-20
56013,1050,840,29.3,1,-20
56026,1380,510,0.0,1,-20
56940,1040,850,18.7,1,-20
57387,1120,1055,0.0,1,-20
57400,1095,855,14.6,1,-20
57413,915,885,0.0,1,-20
58200,1130,890,0.0,1,-20
58590,1170,825,40.3,1,-20
58720,960,895,3.5,1,-20
58733,910,980,47.3,1,-20
58809,965,1035,29.8,1,-20
58989,1360,565,42.0,1,-20
60691,1140,710,0.0,1,-20
60704,975,915,17.9,1,-20
61684,1120,730,0.0,1,-20
61697,843,1071,9.2,1,-20
61814,570,293,0.0,1,-20
61814,904,1046,49.7,1,-20
61827,1004,1370,72.0,1,-20
65812,650,55,0.0,1,-20
65812,1075,815,0.0,1,-20
66628,484,1421,77.1,1,-20
66641,985,902,0.0,1,-20
67329,909,991,0.0,1,-20
68046,1020,840,0.0,1,-20
68059,1195,905,2.7,1,-20
68284,520,400,10.2,1,-20
68284,1245,615,0.0,1,-20
69048,740,1400,85.6,1,-20
69061,1117,826,81.0,1,-20
69780,1083,862,0.0,1,-20
69793,1043,861,61.8,1,-20
69832,1305,570,18.8,1,-20
69845,1305,600,2.5,1,-20
70207,1130,1015,11.3,1,-20
71026,1139,811,25.5,1,-20
71039,435,479,0.0,1,-20
71152,1079,781,0.0,1,-20
71516,1195,685,0.0,1,-20
71529,927,965,36.3,1,-20
72269,1043,922,0.0,1,-20
73090,500,36,0.0,1,-20
73090,790,37,0.0,1,-20
73090,870,72,0.0,1,-20
73090,1290,606,40.6,1,-20
73272,942,896,52.5,1,-20
73718,1125,915,0.0,1,-20
73731,826,44,0.0,1,-20
73731,1085,955,96.9,1,-20
74376,1105,740,0.0,1,-20
74389,975,985,0.0,1,-20
74649,965,1280,76.4,1,-20
74662,1350,1130,6.6,1,-20
74675,945,840,34.7,1,-20
74928,952,1318,42.7,1,-20
75422,1273,659,59.8,1,-20
75435,1063,869,42.1,1,-20
76474,1250,520,0.0,1,-20
76487,890,1345,10.7,1,-20
76734,934,1301,50.4,1,-20
77410,748,49,11.8,1,-20
77410,1055,63,0.0,1,-20
77410,1141,924,7.3,1,-20
77423,1040,854,26.2,1,-20
77436,966,1317,23.9,1,-20
78271,494,253,0.0,1,-20
78271,1162,727,0.0,1,-20
78440,1320,1180,21.9,1,-20
78453,1200,945,46.3,1,-20
78837,640,1388,0.0,1,-20
78966,925,1060,0.0,1,-20
79070,745,65,0.0,1,-20
79070,855,790,17.3,1,-20
79558,1030,860,41.9,1,-20
80425,1170,915,0.0,1,-20
80619,1289,548,85.0,1,-20
80632,1206,921,0.0,1,-20
81502,1280,730,64.4,1,-20
81593,1021,759,0.0,1,-20
81606,1050,750,0.0,1,-20
81891,1065,70,0.0,1,-20
81891,1355,1085,67.9,1,-20
81904,885,1395,48.8,1,-20
82202,1060,860,48.5,1,-20
82501,530,300,0.0,1,-20
82501,1155,735,13.1,1,-20
83429,1034,808,0.0,1,-20
83442,1272,936,0.0,1,-20
84053,1330,1240,58.8,1,-20
84749,1285,985,1.2,1,-20
85043,1125,555,72.3,1,-20
85056,795,945,28.5,1,-20
85134,1040,905,66.2,1,-20
85136,1130,760,0.0,1,-20
85239,1110,1395,54.9,1,-20
85914,1000,285,0.0,1,-20
85914,1405,555,0.0,1,-20
86343,1010,790,2.6,1,-20
86433,1230,810,0.0,1,-20
86563,960,890,0.0,1,-20
86641,1330,545,0.0,1,-20
86654,1080,1260,0.2,1,-20
87100,899,293,0.0,1,-20
87100,1230,820,88.2,1,-20
87760,1320,485,0.0,1,-20
88280,832,1208,12.6,1,-20
89646,1206,672,13.9,1,-20
89763,1061,907,18.4,1,-20
91587,893,892,0.0,1,-20
91600,1157,793,0.0,1,-20
91942,675,1395,63.7,1,-20
92046,1153,1417,69.9,1,-20
92059,540,1260,19.1,1,-20
92228,1182,1428,84.8,1,-20
92241,810,225,1.2,1,-20
92241,1245,765,10.6,1,-20
92508,1020,780,0.0,1,-20
92521,690,1335,71.0,1,-20
92651,915,220,0.0,1,-20
92651,1190,765,87.9,1,-20
93491,1120,860,10.1,1,-20
95091,900,265,46.1,1,-20
95091,1335,865,1.6,1,-20
95375,1100,1260,10.5,1,-20
96945,1260,670,0.0,1,-20
96958,1020,1411,0.0,1,-20
97967,1025,857,51.0,1,-20
97980,855,1072,20.2,1,-20
97993,1170,1131,0.0,1,-20
98119,1110,822,0.0,1,-20
98132,1075,784,0.0,1,-20
98714,940,1070,15.9,1,-20
98727,1110,1270,18.3,1,-20
98831,990,863,0.0,1,-20
98844,60,391,0.0,1,-20
99150,878,1347,49.7,1,-20
99163,1097,798,0.0,1,-20
99267,735,1350,21.9,1,-20
99280,840,1140,0.0,1,-20
99293,978,792,19.3,1,-20
99306,1185,705,0.0,1,-20
99371,825,1175,21.9,1,-20
99384,550,1340,55.6,1,-20
100304,1072,758,61.2,1,-20
100343,975,90,0.0,1,-20
100343,1255,696,22.8,1,-20
100356,1090,875,0.0,1,-20
100428,720,1260,0.0,1,-20
100532,1135,695,11.9,1,-20
100545,890,810,0.0,1,-20
100675,955,1370,54.2,1,-20
100736,957,77,0.0,1,-20
100736,1064,771,56.8,1,-20
100749,1068,824,78.5,1,-20
100918,750,1280,12.1,1,-20
101243,1055,783,0.0,1,-20
101256,736,1404,76.1,1,-20
101269,100,470,78.8,1,-20
101269,840,375,57.5,1,-20
102033,1155,755,0.0,1,-20
102046,1017,908,23.9,1,-20
102786,935,1090,15.8,1,-20
104057,795,1080,60.2,1,-20
104083,1035,1140,35.3,1,-20
104096,1060,1115,43.8,1,-20
104109,1055,730,0.0,1,-20
104344,1089,926,57.7,1,-20
105663,1070,1370,83.2,1,-20
105793,910,1280,0.0,1,-20
106151,779,89,12.6,1,-20
106151,1094,847,7.0,1,-20
106242,1100,760,37.2,1,-20
106707,980,1140,0.0,1,-20
106876,874,215,21.9,1,-20
106876,1194,701,0.0,1,-20
107315,1065,710,0.0,1,-20
107328,500,586,0.0,1,-20
107367,1419,581,89.5,1,-20
107376,900,90,16.4,1,-20
107376,1246,514,2.5,1,-20
107388,1005,1305,30.4,1,-20
108216,600,70,64.4,1,-20
108359,1040,865,40.4,1,-20
108424,1155,720,32.2,1,-20
108797,510,45,87.1,1,-20
108797,1040,895,0.0,1,-20
109020,1178,732,19.6,1,-20
109033,790,35,0.0,1,-20
109033,873,219,0.0,1,-20
109033,1170,763,0.0,1,-20
109349,1040,840,32.2,1,-20
109657,1050,750,0.0,1,-20
109670,810,1290,36.4,1,-20
110646,940,1070,0.0,1,-20
110867,690,1320,27.6,1,-20
111555,1280,1330,10.6,1,-20
111620,1101,810,0.0,1,-20
111633,1095,900,9.9,1,-20
112540,725,85,0.0,1,-20
112540,840,1025,36.3,1,-20
112553,1090,975,29.0,1,-20
113905,750,90,0.0,1,-20
113905,945,1125,1.9,1,-20
115324,1286,784,0.0,1,-20
115337,1286,579,80.5,1,-20
115603,1270,545,24.1,1,-20
115784,1335,705,0.0,1,-20
116109,870,1110,0.0,1,-20
116655,1065,855,0.0,1,-20
116961,1280,715,42.4,1,-20
117261,1007,1053,68.9,1,-20
117391,1110,30,4.3,1,-20
117391,1245,645,0.0,1,-20
117404,615,1395,59.6,1,-20
117482,720,1095,0.0,1,-20
118420,1035,1015,77.3,1,-20
119494,1071,834,0.0,1,-20
119507,925,95,2.5,1,-20
119507,1195,795,0.0,1,-20
119781,1019,849,20.2,1,-20
120365,1125,765,0.0,1,-20
120378,960,870,0.0,1,-20
120391,1260,585,56.3,1,-20
120404,520,1400,80.9,1,-20
120417,1040,790,30.5,1,-20
120897,1110,750,13.5,1,-20
122054,1065,720,19.6,1,-20
122171,1350,645,75.1,1,-20
122210,721,409,24.8,1,-20
122210,1380,646,22.8,1,-20
123187,1225,710,16.0,1,-20
123200,935,1040,73.3,1,-20
124229,1233,1127,19.6,1,-20
124411,1280,730,37.8,1,-20
124515,1035,825,0.0,1,-20
124528,1090,830,26.9,1,-20
126122,1085,1345,0.0,1,-20
126590,738,1211,0.0,1,-20
126772,797,1223,12.4,1,-20
126785,1101,829,8.4,1,-20
126798,1102,772,17.6,1,-20
126874,799,1217,21.3,1,-20
127498,1040,925,25.3,1,-20
127628,970,860,29.2,1,-20
127641,1230,630,0.0,1,-20
127797,1135,695,42.7,1,-20
127810,1140,1240,0.0,1,-20
127823,1090,840,5.5,1,-20
128440,920,1325,44.2,1,-20
128670,1140,770,5.4,1,-20
129073,1119,1191,23.8,1,-20
129743,1010,865,23.2,1,-20
130251,672,121,41.6,1,-20
130251,988,1039,29.4,1,-20
130264,974,1176,38.7,1,-20
130743,1042,43,0.0,1,-20
130743,1109,721,26.6,1,-20
131160,1200,700,73.0,1,-20
131308,1042,55,14.2,1,-20
131308,1257,933,63.6,1,-20
131373,910,1220,69.6,1,-20
131529,1122,763,0.0,1,-20
132059,995,985,19.3,1,-20
132134,830,1390,79.9,1,-20
132545,1120,770,69.7,1,-20
132558,1125,810,31.6,1,-20
133307,1237,968,14.5,1,-20
134365,1049,821,0.0,1,-20
134378,847,1261,0.0,1,-20
134670,480,1381,66.9,1,-20
134683,1155,735,0.0,1,-20
134696,1110,1070,0.0,1,-20
135587,915,1365,67.6,1,-20
136370,955,1355,84.0,1,-20
136387,1096,950,0.0,1,-20
136400,1110,840,23.9,1,-20
136413,1215,675,31.2,1,-20
136426,870,1170,0.0,1,-20
136465,1252,681,0.0,1,-20
136478,1134,756,0.0,1,-20
136517,855,1138,46.2,1,-20
136530,1040,160,0.0,1,-20
136543,1089,873,0.0,1,-20
136556,1105,870,0.0,1,-20
136569,1090,831,13.9,1,-20
136602,395,1310,47.4,1,-20
136652,1171,754,0.0,1,-20
136678,899,172,13.8,1,-20
136678,1296,964,7.0,1,-20
145903,983,1060,0.0,1,-20
145968,1130,715,5.1,1,-20
146612,1095,1365,66.3,1,-20
147196,930,975,22.3,1,-20
147248,930,1170,2.7,1,-20
147261,685,1408,84.0,1,-20
147887,1245,750,0.0,1,-20
147900,1120,905,42.0,1,-20
148014,810,1265,0.0,1,-20
148606,1290,1250,36.7,1,-20
148619,640,1388,85.4,1,-20
148747,1095,795,37.6,1,-20
148760,1090,760,25.3,1,-20
148773,1160,690,0.0,1,-20
149315,550,1400,56.7,1,-20
149388,1060,860,32.4,1,-20
149401,1000,85,8.9,1,-20
149401,1255,695,42.0,1,-20
149409,925,175,0.0,1,-20
149409,1355,467,50.1,1,-20
149422,851,61,0.0,1,-20
149422,1196,874,41.8,1,-20
149435,1335,1140,43.7,1,-20
149498,1180,740,6.5,1,-20
149511,1108,35,0.0,1,-20
149511,1150,757,19.4,1,-20
150104,800,30,27.6,1,-20
150104,1120,170,0.0,1,-20
150104,1310,540,92.9,1,-20
150117,824,1111,0.0,1,-20
150351,1185,735,0.0,1,-20
150364,1095,810,0.0,1,-20
150855,1070,1205,38.3,1,-20
150868,1215,885,12.9,1,-20
150933,1219,757,0.0,1,-20
150998,1322,616,50.5,1,-20
151452,965,115,0.0,1,-20
151452,1372,458,0.0,1,-20
151465,1035,825,0.0,1,-20
151764,870,1140,40.9,1,-20
151777,990,1020,0.0,1,-20
152998,820,1160,0.0,1,-20
153011,990,1320,19.7,1,-20
153418,1120,680,82.5,1,-20
153431,780,1410,13.8,1,-20
153728,1170,630,0.0,1,-20
153741,1029,828,0.0,1,-20
153754,27,829,66.9,1,-20
153832,1207,1333,74.7,1,-20
153845,1010,1300,0.0,1,-20
153884,780,1095,40.7,1,-20
154298,1258,874,33.9,1,-20
154415,1020,900,0.0,1,-20
154428,1050,900,0.0,1,-20
155174,1255,1345,74.1,1,-20
155368,430,200,0.0,1,-20
155368,1057,703,78.1,1,-20
158198,1244,669,38.1,1,-20
158315,615,465,15.2,1,-20
158315,1130,760,15.8,1,-20
158718,1075,815,35.2,1,-20
159773,980,1111,0.0,1,-20
160241,1080,840,0.0,1,-20
160254,1110,1050,0.0,1,-20
160507,1070,950,37.5,1,-20
160747,1030,855,0.0,1,-20
160755,962,866,22.7,1,-20
161378,1055,850,56.3,1,-20
161425,1205,610,28.3,1,-20
162062,1140,760,55.8,1,-20
162875,1095,810,16.0,1,-20
162888,760,1430,79.5,1,-20
163396,1050,780,7.2,1,-20
163667,990,870,0.0,1,-20
164089,1305,1005,7.7,1,-20
164851,1090,45,0.6,1,-20
164851,1235,735,17.8,1,-20
165204,1130,670,0.0,1,-20
165846,930,35,0.0,1,-20
165846,1015,125,0.0,1,-20
165846,1227,818,54.5,1,-20
166219,1170,615,0.0,1,-20
166232,880,1034,75.9,1,-20
166245,1203,1284,58.8,1,-20
166258,1300,598,70.9,1,-20
166271,728,1187,75.6,1,-20
166613,1170,715,10.1,1,-20
166820,723,1247,42.2,1,-20
166833,1162,713,19.7,1,-20
166885,1052,85,0.0,1,-20
166885,1180,678,38.0,1,-20
167194,1015,1125,67.8,1,-20
167794,1215,830,0.0,1,-20
168106,972,921,0.0,1,-20
168801,906,1009,69.2,1,-20
170167,1210,1250,66.9,1,-20
171567,682,1374,53.8,1,-20
172319,1170,840,8.7,1,-20
173104,1278,659,48.0,1,-20
173117,1149,171,0.0,1,-20
173619,710,1170,0.0,1,-20
173632,1310,495,0.0,1,-20
173645,1125,685,0.0,1,-20
173658,692,1338,55.5,1,-20
174072,1128,1342,38.0,1,-20
174085,570,1295,40.0,1,-20
174330,1380,585,0.0,1,-20
174343,520,200,0.0,1,-20
174343,1023,325,22.5,1,-20
174679,1095,165,66.7,1,-20
174679,1350,615,0.0,1,-20
174796,1065,885,22.6,1,-20
175042,1020,810,0.0,1,-20
175719,1075,780,0.0,1,-20
175732,928,1232,40.6,1,-20
176628,745,45,0.0,1,-20
176628,931,284,19.4,1,-20
176628,1365,675,24.3,1,-20
176641,1095,885,27.1,1,-20
176835,1100,929,0.0,1,-20
176848,1150,755,70.7,1,-20
176900,1080,840,79.6,1,-20
176913,1040,835,23.7,1,-20
176991,1050,840,54.5,1,-20
177225,795,1335,22.2,1,-20
177238,1050,830,0.0,1,-20
177926,1035,940,45.7,1,-20
177939,1366,1359,68.4,1,-20
178436,1020,850,0.0,1,-20
178683,1205,645,20.2,1,-20
178696,270,573,0.0,1,-20
178696,1035,645,0.0,1,-20
179098,960,960,31.5,1,-20
179528,1027,882,0.0,1,-20
179541,775,274,20.2,1,-20
179541,1324,660,0.0,1,-20
179590,1016,48,0.0,1,-20
179590,1180,726,0.0,1,-20
179980,1115,1345,67.6,1,-20
180032,969,33,12.1,1,-20
180032,1066,844,0.0,1,-20
180164,650,1150,4.1,1,-20
180177,1095,1365,47.3,1,-20
180216,1235,245,0.0,1,-20
180749,930,1170,37.4,1,-20
181035,1198,727,0.0,1,-20
181048,999,974,55.7,1,-20
181386,1320,1275,72.5,1,-20
181668,1248,637,7.2,1,-20
181850,580,1370,76.0,1,-20
182145,1220,761,0.0,1,-20
182158,1283,661,19.1,1,-20
182390,915,1125,1.2,1,-20
184287,1412,413,74.6,1,-20
184508,90,504,0.0,1,-20
184508,815,160,0.0,1,-20
184521,1230,631,25.0,1,-20
184534,1054,1001,0.8,1,-20
184547,1065,730,76.7,1,-20
184651,1095,155,0.0,1,-20
184695,1040,801,59.1,1,-20
185160,1075,215,0.0,1,-20
185160,1342,833,0.0,1,-20
185718,1242,953,0.0,1,-20
185848,1026,1084,22.9,1,-20
185861,1020,1235,0.0,1,-20
185952,1070,820,0.0,1,-20
185961,860,1210,2.3,1,-20
186639,1080,1138,48.2,1,-20
186745,990,1320,43.3,1,-20
186977,1226,912,36.8,1,-20
186990,1105,1225,72.3,1,-20
187107,1320,705,0.0,1,-20
187141,1115,810,0.0,1,-20
187449,771,269,39.8,1,-20
187449,1340,692,47.4,1,-20
187462,530,1420,69.3,1,-20
187752,1195,865,46.9,1,-20
187765,1298,586,7.9,1,-20
189652,785,1265,0.0,1,-20
189665,658,182,0.0,1,-20
189665,890,1075,43.3,1,-20
190051,1070,875,34.6,1,-20
190063,1062,744,21.0,1,-20
190853,1231,1199,51.8,1,-20
191535,1030,885,0.0,1,-20
200768,990,150,0.0,1,-20
200768,1290,570,0.0,1,-20
204355,855,255,20.8,1,-20
204355,1320,765,0.0,1,-20
204368,1045,925,40.2,1,-20
204449,1265,525,43.4,1,-20
204462,1070,790,0.0,1,-20
207546,810,1290,66.8,1,-20
207559,1125,825,14.9,1,-20
209554,1222,708,47.3,1,-20
212336,1200,810,0.0,1,-20
212609,815,1150,63.7,1,-20
215461,1085,790,0.0,1,-20
215684,1049,105,0.0,1,-20
215684,1340,1083,1.1,1,-20
218465,805,1325,0.0,1,-20
221791,936,140,0.0,1,-20
221791,1131,769,0.0,1,-20
222356,1021,891,0.0,1,-20
229505,1313,1187,66.0,1,-20
233048,1092,836,11.3,1,-20
233061,1080,885,14.5,1,-20
236055,1162,1205,23.7,1,-20
236068,880,1115,73.7,1,-20
236555,1035,115,58.3,1,-20
236555,1315,465,0.0,1,-20
236568,970,870,0.0,1,-20
241483,783,1352,65.4,1,-20
241496,1162,878,0.0,1,-20
244946,1025,1225,66.4,1,-20
244959,1095,855,30.7,1,-20
246519,692,363,0.0,1,-20
246519,1070,970,80.9,1,-20
246999,1150,1400,78.8,1,-20
251478,1055,835,83.1,1,-20
254610,740,1040,0.0,1,-20
254688,1301,630,20.3,1,-20
256159,978,981,23.8,1,-20
256172,983,1138,12.2,1,-20
256665,1261,651,88.2,1,-20
256678,1027,783,0.0,1,-20
256925,900,45,21.6,1,-20
256925,1080,1080,0.0,1,-20
258258,1177,713,77.3,1,-20
259772,1149,756,60.4,1,-20
261458,1100,67,0.0,1,-20
261458,1181,683,32.8,1,-20
261471,675,1390,0.0,1,-20
261484,1079,855,0.0,1,-20
267062,1215,810,21.9,1,-20
268975,1096,794,0.0,1,-20
269717,873,1347,29.4,1,-20
271396,970,1370,77.8,1,-20
271409,1135,890,12.0,1,-20
273143,970,1025,16.6,1,-20
273283,981,944,43.9,1,-20
276771,900,1020,0.0,1,-20
278420,1020,120,0.0,1,-20
278420,1270,950,39.2,1,-20
283122,1285,620,9.5,1,-20
283146,1305,585,84.2,1,-20
285327,980,970,19.9,1,-20
286710,735,1385,84.7,1,-20
288549,970,50,0.0,1,-20
288549,1135,675,0.0,1,-20
290824,1080,822,0.0,1,-20
294728,965,1335,0.0,1,-20
295144,425,475,0.0,1,-20
295144,1360,395,0.0,1,-20
296660,1020,955,0.0,1,-20
296673,999,1326,50.3,1,-20
296686,1032,83,52.9,1,-20
298054,1202,628,0.0,1,-20
305056,1273,786,0.0,1,-20
305082,760,1275,64.6,1,-20
305095,1025,851,16.6,1,-20
305108,1253,854,19.2,1,-20
305177,30,585,21.4,1,-20
305190,1050,315,0.0,1,-20
305190,1395,465,14.5,1,-20
305203,950,160,0.0,1,-20
305203,1250,865,58.5,1,-20
305216,1115,825,30.5,1,-20
305229,1120,1387,59.6,1,-20
320076,1045,730,0.0,1,-20
320089,766,72,0.0,1,-20
321126,909,1395,68.1,1,-20
321139,1275,565,14.1,1,-20
321152,1110,810,0.0,1,-20
322277,1124,781,0.0,1,-20
322290,924,1426,84.9,1,-20
322705,950,940,0.0,1,-20
322978,1147,713,18.8,1,-20
322991,1245,1380,48.7,1,-20
323082,1350,911,35.3,1,-20
323095,1060,840,29.2,1,-20
324283,895,155,0.0,1,-20
324283,1212,737,46.3,1,-20
324547,705,105,33.4,1,-20
324547,1095,945,0.0,1,-20
325500,1080,800,0.0,1,-20
325513,1030,815,0.0,1,-20
325744,1435,885,39.1,1,-20
325952,682,1343,71.2,1,-20
327369,1130,885,0.0,1,-20
327467,975,110,0.0,1,-20
327480,604,83,0.0,1,-20
327480,926,94,0.0,1,-20
327918,1170,750,0.0,1,-20
328191,762,1188,57.2,1,-20
328269,953,1217,54.0,1,-20
328282,810,1111,18.6,1,-20
329018,880,1258,0.0,1,-20
330666,1320,640,22.5,1,-20
331217,885,1215,39.0,1,-20
331772,1117,766,52.5,1,-20
331785,1215,625,0.0,1,-20
366021,1169,706,27.0,1,-20
451466,1070,720,0.0,1,-20
472169,925,890,50.5,1,-20
472182,655,1265,54.4,1,-20
472195,806,1144,8.1,1,-20
472234,760,95,13.6,1,-20
472234,955,1078,0.0,1,-20
472247,1110,765,0.0,1,-20
472260,960,770,0.0,1,-20
472273,1020,855,6.8,1,-20
472286,1385,825,11.1,1,-20
472299,945,900,46.6,1,-20
472309,1200,1080,11.7,1,-20
472335,1215,800,5.3,1,-20
472373,1260,645,30.8,1,-20
472386,1290,709,0.0,1,-20
472399,570,1410,77.5,1,-20
472412,960,1080,17.5,1,-20
472425,1050,930,53.3,1,-20
472475,570,280,0.0,1,-20
472475,1119,776,30.1,1,-20
472488,995,105,0.0,1,-20
472488,1265,700,0.0,1,-20
472501,1095,725,59.0,1,-20
472514,825,1383,46.6,1,-20
472527,1121,812,0.0,1,-20
472540,1033,1112,6.8,1,-20
472553,783,37,0.0,1,-20
472553,979,106,0.0,1,-20
472553,1219,679,21.6,1,-20
