profile_column,vehicle_type,profile_file,capacity_kwh,charger_power_kw,efficiency
Vehicle 37,MY2030_PHEV_SUV,pdf_Veh1,14.8,7.2,0.9
Vehicle 31,MY2030_PHEV_SUV,pdf_Veh2,14.8,7.2,0.9
Vehicle 23,MY2030_PHEV_SUV,pdf_Veh3,14.8,7.2,0.9
Vehicle 16,MY2030_PHEV_SUV,pdf_Veh4,14.8,7.2,0.9
Vehicle 1,MY2030_PHEV_SUV,pdf_Veh1,14.8,7.2,0.9
Vehicle 7,MY2030_PHEV_SUV,pdf_Veh2,14.8,7.2,0.9
Vehicle 29,MY2030_PHEV_SUV,pdf_Veh3,14.8,7.2,0.9
Vehicle 10,MY2030_PHEV_SUV,pdf_Veh4,14.8,7.2,0.9
Vehicle 39,MY2030_PHEV_SUV,pdf_Veh1,14.8,7.2,0.9
Vehicle 14,MY2030_PHEV_SUV,pdf_Veh2,14.8,7.2,0.9
Vehicle 47,MY2030_PHEV_SUV,pdf_Veh3,14.8,7.2,0.9
Vehicle 18,MY2030_PHEV_SUV,pdf_Veh4,14.8,7.2,0.9
Vehicle 50,MY2030_PHEV_SUV,pdf_Veh1,14.8,7.2,0.9
Vehicle 41,MY2030_PHEV_SUV,pdf_Veh2,14.8,7.2,0.9
Vehicle 12,MY2030_PHEV_SUV,pdf_Veh3,14.8,7.2,0.9
Vehicle 42,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 20,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 34,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 45,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 38,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 32,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 25,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 40,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 49,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 26,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 13,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 35,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 4,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 2,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 22,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 28,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 33,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 15,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 24,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 6,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 27,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 19,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 43,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 9,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 48,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 44,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 5,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 21,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 30,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 36,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 46,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
Vehicle 11,MY2030_BEV_SUV,pdf_Veh4,117.6,10.26,0.9
Vehicle 8,MY2030_BEV_SUV,pdf_Veh1,117.6,10.26,0.9
Vehicle 3,MY2030_BEV_SUV,pdf_Veh2,117.6,10.26,0.9
Vehicle 17,MY2030_BEV_SUV,pdf_Veh3,117.6,10.26,0.9
