Time,Water Heating (L/min),Zone Temperature (C),Mains Temperature (C)
01/01/2018 00:00,0.008,20.0,7.0
01/01/2018 01:00,0.004,20.0,7.0
01/01/2018 02:00,0.004,20.0,7.0
01/01/2018 03:00,0.004,20.0,7.0
01/01/2018 04:00,0.008,20.0,7.0
01/01/2018 05:00,0.064,20.0,7.0
01/01/2018 06:00,0.352,20.0,7.0
01/01/2018 07:00,0.38,20.0,7.0
01/01/2018 08:00,0.352,20.0,7.0
01/01/2018 09:00,0.296,20.0,7.0
01/01/2018 10:00,0.236,20.0,7.0
01/01/2018 11:00,0.2,20.0,7.0
01/01/2018 12:00,0.172,20.0,7.0
01/01/2018 13:00,0.152,20.0,7.0
01/01/2018 14:00,0.144,20.0,7.0
01/01/2018 15:00,0.136,20.0,7.0
01/01/2018 16:00,0.164,20.0,7.0
01/01/2018 17:00,0.22,20.0,7.0
01/01/2018 18:00,0.264,20.0,7.0
01/01/2018 19:00,0.264,20.0,7.0
01/01/2018 20:00,0.24,20.0,7.0
01/01/2018 21:00,0.208,20.0,7.0
01/01/2018 22:00,0.08,20.0,7.0
01/01/2018 23:00,0.048,20.0,7.0
01/02/2018 00:00,0.004,20.0,7.0
01/02/2018 01:00,0.004,20.0,7.0
01/02/2018 02:00,0.004,20.0,7.0
01/02/2018 03:00,0.004,20.0,7.0
01/02/2018 04:00,0.008,20.0,7.0
01/02/2018 05:00,0.032,20.0,7.0
01/02/2018 06:00,0.208,20.0,7.0
01/02/2018 07:00,0.228,20.0,7.0
01/02/2018 08:00,0.212,20.0,7.0
01/02/2018 09:00,0.592,20.0,7.0
01/02/2018 10:00,0.5,20.0,7.0
01/02/2018 11:00,0.416,20.0,7.0
01/02/2018 12:00,0.356,20.0,7.0
01/02/2018 13:00,0.312,20.0,7.0
01/02/2018 14:00,0.216,20.0,7.0
01/02/2018 15:00,0.144,20.0,7.0
01/02/2018 16:00,0.116,20.0,7.0
01/02/2018 17:00,0.128,20.0,7.0
01/02/2018 18:00,0.152,20.0,7.0
01/02/2018 19:00,0.152,20.0,7.0
01/02/2018 20:00,0.132,20.0,7.0
01/02/2018 21:00,0.048,20.0,7.0
01/02/2018 22:00,0.024,20.0,7.0
01/02/2018 23:00,0.008,20.0,7.0
